flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
JZR306_20190626,JZR306,J9306,70620c,9K-CAK,A320,LTFJ,LTFJ,OKBK,LTFJ,cabin_pressure,return,unknown,,,,
BAW2276_20190627,BAW2276,BA2276,405bfc,G-YMMS,B772,KLAS,EGKK,EGKK,,unclear,unclear,unknown,,,,
EZY49BT_20190627,EZY49BT,U26956,400e5a,G-EZAX,A319,LFPG,LFPG,EGPH,LFPG,engine,return,unknown,,,,
AFL2590_20190628,AFL2590,SU2590,400140,VP-BWD,A320,UUEE,EIDW,EIDW,,medical,planned,unknown,,,,
VIR156G_20190629,VIR156G,VS156,406ecc,G-VFAN,B789,KLAS,EGLL,EGLL,,unclear,planned,unknown,,,,
AFR72PE_20190630,AFR72PE,AF7733,3985a3,F-HBND,A320,LFRB,LFPG,LFPG,,unclear,unclear,unknown,,,,
RFR7270_20190701,RFR7270,,43c8d8,ZM337,E50P,,EGNX,,,unclear,unclear,unknown,,,,
BAW20R_20190702,BAW20R,BA294,4005e2,G-CIVI,B744,KORD,,EGLL,,unclear,unclear,unknown,,,,
AAL743_20190702,AAL743,AA743,a2e0a5,N285AY,A332,LEBL,EGLL,KPHL,EGLL,unclear,diverted,unknown,,,,
BAW119_20190703,BAW119,BA119,405bfe,G-YMMU,B772,EGLL,EGLL,VOBL,EGLL,technical,return,fueldump,4c9f1208,smoke_burn_smell_flames,return,fueldump
FFT1835_20190703,FFT1835,F91835,a3904c,N329FR,A20N,KDTW,KAUS,KAUS,,,,,,,,
UAL57_20190704,UAL57,UA57,a05629,N12006,B78X,KEWR,LFPG,LFPG,,unclear,planned,unknown,,,,
TOM517_20190705,TOM517,BY517,406cdd,G-POWM,A320,GMMX,LFBD,EGKK,LFBD,unclear,diverted,unknown,4ca10ad5,engine,diverted,unknown
EXS634_20190705,EXS634,LS634,40717c,G-JZBH,B738,GCTS,LPPT,EGNX,LPPT,medical,diverted,unknown,,,,
BEL3RW_20190706,BEL3RW,SN3667,44ce73,OO-SSS,A319,EBBR,,LFBO,,unclear,unclear,unknown,,,,
SKW5295_20190706,SKW5295,UA5295,a0af7c,N143SY,E75L,KBHM,KDEN,KDEN,,,,,,,,
JIA5116_20190708,JIA5116,OH5116,a653f6,N507AE,CRJ7,KSTL,KDCA,KDCA,,,,,,,,
GJS4512_20190708,GJS4512,UA4512,a124f1,N173GJ,CRJ7,KDEN,KDEN,KRDM,KDEN,unclear,return,unknown,,,,
AAL1895_20190708,AAL1895,AA1895,a771af,N579UW,A321,KLAS,KCLT,KCLT,,,,,,,,
AAY2404_20190709,AAY2404,G42404,a1e241,N220NV,A320,KPIE,KGRR,KGRR,,,,,,,,
OXF45_20190709,OXF45,,406a99,G-OXFB,PA34,EGTK,EGGP,EGNR,EGNR,unclear,unclear,unknown,,,,
QTR6UG_20190710,QTR6UG,QR629,06a0b5,A7-BCQ,B788,OPLA,OTHH,OTHH,,unclear,planned,unknown,,,,
SKW5355_20190710,SKW5355,UA5355,aabd56,N791SK,CRJ7,KDAY,KIND,KDEN,KIND,unclear,diverted,unknown,4ca497e3,cabin_pressure,diverted,unknown
DAL906_20190710,DAL906,DL906,a8df4b,N6709,B752,MGGT,KATL,KATL,,,,,,,,
FDX5279_20190712,FDX5279,FX5279,a86d2b,N642FE,MD11,VIDP,VABB,OMDB,VABB,unclear,unclear,unknown,,,,
ARG1403_20190713,ARG1403,AR1403,e06542,LV-FUB,B738,SAME,SAEZ,SABE,SAEZ,,,,,,,
AUA463_20190714,AUA463,OS463,440828,OE-LWL,E195,LOWW,EGCC,EGCC,,unclear,planned,unknown,4ca5e1cd,cabin_pressure,planned,unknown
BAW17TH_20190714,BAW17TH,BA2593,4008e6,G-MIDS,A320,LICC,EGKK,EGKK,,smoke_burn_smell_flames,planned,unknown,,,,
AFR55MZ_20190714,AFR55MZ,AF1158,4ca612,EI-RJF,RJ85,LFPG,,EGNT,,unclear,unclear,unknown,,,,
